"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Belize","BLZ","Total fisheries production (metric tons)","ER.FSH.PROD.MT","900","600","800","900","900","800","900","1300","1300","1600","1500","1800","1900","1600","1618","1603","1613","3082","2808","2554","2066","2252","2288","2641","2672","2427","1861","2059","2151","2312","2132","2679","2715","4573","8326","10669","13172","26185","28242","54990","33952","35206","88760","53518","81472","111585","193397","308817","368802","309942","407339.7","282516","177818.6","41824","83400.76","101726","92385","","","",
"Bermuda","BMU","Total fisheries production (metric tons)","ER.FSH.PROD.MT","500","500","400","400","450","450","500","500","550","550","900","2380","2820","3220","3599","4572","7208","7635","8723","6347","4105","2024","2348","927","538","670","820","821","773","774","463","428","432","404","394","449","465","461","466","453","290","309","397","363","386","401","381","425","401","416","375","478","516","461","417","407","410","","","",
"Bolivia","BOL","Total fisheries production (metric tons)","ER.FSH.PROD.MT","700","500","1300","1400","1900","1800","1700","1500","1300","1200","1100","1300","1500","1500","1050","1050","1250","1550","1550","3650","4379","5617","4105","4105","4105","4170","3871","4271","4427","6024","7424","5367","5171","6167","5970","6308","6368","6425","6440","6450","6511","6260","6718","6974","6886","6790","6535","6355","7381","8343","7802","7643","7880","8247","8390","9987.5","10000","","","",
"Brazil","BRA","Total fisheries production (metric tons)","ER.FSH.PROD.MT","251000","275100","379400","335588","368976","388912","393162","419796","495176","492303","573040","613469","620167","760012","715188","752790","660241","731716","754655","783573","808606","811565","831884","881274","960569","967557","957550","947992","830102","798638","640295","671510","670333","676441","701251","652910","693172","732261","710704","744598","839296","935946","1003260","985412","1015916","1008045","1050810","1072225","1123445","1190539","1197146","1201477","1300992","1243038","1331256","1275230","1286230","","","",
"Barbados","BRB","Total fisheries production (metric tons)","ER.FSH.PROD.MT","5213","4613","4713","2813","2113","2613","4813","4613","3213","3013","2313","2313","2313","2613","2668","4223","4952","3188","3597","4267","3747","3423","3492","6534","5784","3832","4112","3610","8939","2585","3029","2292","3585","3225","2829","3592","3523","2820","3655","3281","3185","2731","2530","2849","2159","2193","1988","2237","3564","3509","3282","1829.5","1371.5","2991.5","2228.5","1519.5","1760.5","","","",
"Brunei Darussalam","BRN","Total fisheries production (metric tons)","ER.FSH.PROD.MT","800","900","900","1000","1000","1100","1200","1200","1300","1300","1500","1500","1500","1500","1560","1570","1644","2193","2704","2792","2225","2367","2357","3055","3425","3967","4106","3916","2042","2318","2354","1652","1709","1764","4517","4822","5848","4678","5221","3380","2600","1696","2215","1949","2632","3163","2754","3172","2830","2391","2850.98","2684","5073","3386.85","3897.07","4353.14","14239.63","","","",
"Bhutan","BTN","Total fisheries production (metric tons)","ER.FSH.PROD.MT","100","100","100","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150","145","140","135","130","125","120","115","125","117","131","130","125","115","110","105","100","95","90","85","80","75","70","65","70","65","60","55","56","54","52","79","80.34","72.8","144","156","157","","","",
"Botswana","BWA","Total fisheries production (metric tons)","ER.FSH.PROD.MT","400","400","500","500","500","500","600","600","800","800","800","1100","1200","1200","1200","1200","1600","1500","1000","1000","1250","1450","1400","1250","1500","1500","1700","1900","1900","1600","1300","1000","800","600","400","200","81","160","191","157","166","118","139","122","161","132","81","122","86","73","60","234","378","431","1168","101","53","","","",
"Central African Republic","CAF","Total fisheries production (metric tons)","ER.FSH.PROD.MT","2000","2000","2000","2500","2500","3000","4000","5000","5000","6000","7000","8000","8000","10000","11883","8049","10480","13030","13047","13064","13080","13094","13111","13128","13309","13288","13193","13088","13079","13082","13105","13605","13338","13551","13755","13960","14150","14330","14580","15117","15120","17125","19125","21125","23125","25125","27140","29140","31140","33140","35170","35170","32182","30180","29180","28180","29190","","","",
"Canada","CAN","Total fisheries production (metric tons)","ER.FSH.PROD.MT","931042","1036870","1123387","1213157","1213316","1242713","1358682","1296355","1495890","1404864","1396089","1317649","1174655","1169095","1045856","1031900","1134435","1271867","1408150","1450442","1376925","1448401","1430442","1375319","1312249","1482788","1544397","1631973","1728032","1682396","1726748","1548466","1375876","1214701","1112524","945560","998319","1082952","1122419","1160246","1160351","1229970","1277887","1321586","1358665","1300211","1294235","1197472","1123429","1149103","1141862","1049816","1017563","1034939","1016457","1050066","1075492","","","",
"Central Europe and the Baltics","CEB","Total fisheries production (metric tons)","ER.FSH.PROD.MT","245611","251722","244516","292337","335341","381021","425630","459789","539022","566117","652471","716370","768424","812116","957319","1126574","1077259","986948","850318","897313","972945","961093","1002704","1148640","1107562","1053084","1061725","1084902","2435114","2262253","1838359","1878532","1180162.08","958208.27","901936.01","943987.05","822440","755817.49","678129.08","691542.19","691529.24","757069.12","740591.54","684415.04","721074.12","706185.09","698373.299","771528.084","774453.794","852577.749","781373.39","770461.659","619490.548","705902.796","756024.74","672320.742","749883.819","","","",
"Switzerland","CHE","Total fisheries production (metric tons)","ER.FSH.PROD.MT","2500","2800","2800","3300","2800","2700","3000","3000","3500","3500","2400","2800","3600","3600","3800","3900","3915","3982","3820","3890","3500","3676","3369","3540","4113","4564","4657","4523","4227","4483","4228","4829","3945","2957","2716","2749","3002","3009","2959","2975","2759","2850","2679","2915","2807","2952","2904","2869","3300","3433","3362","3564","3474","3600","3576","3616","3584","","","",
"Channel Islands","CHI","Total fisheries production (metric tons)","ER.FSH.PROD.MT","800","1000","1000","1000","1000","1200","1200","1200","1200","1200","1300","1300","1300","1700","1625","1449","1368","2004","2688","2704","2906","2800","2241","3477","3669","3024","2333","2390","2756","2923","3072","2872","2885","2935","2886","3063","4537","4368","4313","3850","3979","4414","4029","4210","3976","4155","4128","4357","4200","3673.6","4503.2","4067.1","3837.243","3820.13","4299.75","4342.2","4483.65","","","",
"Chile","CHL","Total fisheries production (metric tons)","ER.FSH.PROD.MT","346822","440905","643697","773891","1176119","729277","1404860","1085695","1392284","1110093","1230468","1516362","820980","694470","1171969","970553","1436857","1378970","1989159","2697021","2892854","3503373","3846789","4167505","4674028","4986865","5695537","4931660","5375983","6632640","5424055","6166043","6627364","6191764","8021446","7890723","7232746","6365709","3824607","5587316","4972652","4663433","5132740","4528441","6013542","5477533","5294185","4939020","4810224","4702902","3761557","4436498","4084462","3334603","3820149","3189695","2879355","","","",
"China","CHN","Total fisheries production (metric tons)","ER.FSH.PROD.MT","3085600","3085600","3192400","3242400","3342400","3549200","3649200","3649200","3755900","3855900","3784200","4258800","4716900","4687200","5105899","5372997","5438824","6020062","5996137","5550691","5807196","5787655","6381252","6920463","7770790","8789380","10100000","11400000","12800000","13800000","14700000","16500000","19700000","23600000","28100000","32700000","36500000","37200000","39900000","41800000","43300000","44300000","46300000","48200000","50700000","52500000","54600000","56200000","57800000","60500000","63500000","66200000","70400000","73700000","76100000","78800000","81500000","","","",
"Cote d'Ivoire","CIV","Total fisheries production (metric tons)","ER.FSH.PROD.MT","40500","42100","43600","45600","54600","59500","60800","66100","68400","67400","64302","77530","75199","60763","66690","58590","75917","67054","65012","73621","70068","75586","73753","79858","73701","101927","103648","101682","89506","99171","95100","83108","87345","70174","74095","70575","73839","67617","73390","79273","81520","77030","70676","69769","55267","43531","55696","48590","54945","50864","56937","65311","72848","79400","79013","68000","72201","","","",
"Cameroon","CMR","Total fisheries production (metric tons)","ER.FSH.PROD.MT","51700","56500","58100","59400","59800","61100","62600","63400","65100","68100","68800","64700","60400","57600","55736","66280","70397","70172","68878","81236","81085","79818","83101","77397","75581","74099","72104","70773","70966","69967","70848","69392","72032","65307","79070","94188","98587","102067","106867","110067","112159","121181","130465","118186","129395","142747","137667","139158","155846","172546","181570","190571","199840","208195","216575","225955","235505","","","",
"Congo, Dem. Rep.","COD","Total fisheries production (metric tons)","ER.FSH.PROD.MT","77000","75000","77000","69500","75000","81000","84000","93400","127700","149300","136600","123900","124200","156900","128810","113380","117858","107000","108706","115182","102415","102640","100700","102000","148300","148456","156514","162300","162600","167000","163400","166550","188570","197489","156547","159227","163610","163211","179874","210441","246695","234122","240655","237340","238717","237779","237532","237222","234417","231333","227461","224220","220869","230283","232483","233682.5","240533","","","",
"Congo, Rep.","COG","Total fisheries production (metric tons)","ER.FSH.PROD.MT","11000","11000","12600","12500","13600","14000","14200","13600","14100","13900","14399","16010","24526","22200","23718","23103","26869","24364","26297","29630","31965","29665","30835","35255","32854","29939","32083","37852","41977","45840","48210","45577","40183","46982","42785","45915","45579","38181","43095","43699","46024","48894","51995","53934","57096","54696","59103","59241","54169","61274","65244","73301","81152","73236","73572","69395","86925","","","",
"Colombia","COL","Total fisheries production (metric tons)","ER.FSH.PROD.MT","29800","43300","52000","47700","50300","53500","59200","86200","83600","57600","54500","37700","110700","105300","62418","66575","75109","63972","79590","63411","76224","94731","71442","57639","79289","71696.32","83645.48","86068.34","89930.34","97732.3","130129","115802","168235","148940.5","125420.5","167636","160089","191763","180549","180373","198847","203824","181959","191042","172564","182002","174129","188220","181092","187073","161535","171172","161629","160029","183946","177753","183314","","","",
"Comoros","COM","Total fisheries production (metric tons)","ER.FSH.PROD.MT","817","817","917","917","917","917","875","875","1235","1235","1661","2469","2878","3286","4046","4755","4863","5620","6026","6485","6951","7459","7974","8493","8999","9515","9970","10378","10913","10751","11251","11551","12590","12757","13537","13109","12696","12576","12317","11818","12003","11425","11178","11053","10987","10738","10464","14401","22714","44745","63447","38180","36296","43732","9256","12674","16407","","","",
"Cabo Verde","CPV","Total fisheries production (metric tons)","ER.FSH.PROD.MT","1600","1600","1500","2000","2500","3500","4000","5900","4900","4000","5181","4153","4078","8333","3428","3900","3800","6000","7000","7476","8837","14730","12453","11863","10730","10190","7335","7312","6387","8614","6579.04","7378.1","6573","7000","8256","8495","9255","9705","9424","10360","10586","8676","8851","8136","11031","21931","19826","20127","21119","19213","21412","23077","20943","35984","35677","37742","19900","","","",
